LINESEARCH!!!
LINESEARCH LR: 0.0001220703125
step 0: train loss 10.9888, val loss 10.9901
iter 2970: loss 3.8143, time 3009.34ms, mfu 22.34%
iter 2980: loss 4.0090, time 3021.98ms, mfu 22.33%
iter 2990: loss 4.0355, time 3015.78ms, mfu 22.33%
LINESEARCH!!!
LINESEARCH LR: 6.103515625e-05
step 3000: train loss 3.8738, val loss 3.8859
saving checkpoint to out
iter 3000: loss 3.8749, time 62999.70ms, mfu 20.21%
iter 3010: loss 3.7294, time 3008.14ms, mfu 20.42%
iter 3020: loss 3.6514, time 3009.02ms, mfu 20.62%
iter 3030: loss 3.9499, time 3009.03ms, mfu 20.79%
iter 3040: loss 3.9334, time 3011.14ms, mfu 20.95%
iter 3050: loss 3.9247, time 3013.06ms, mfu 21.09%
iter 3060: loss 3.9907, time 3013.99ms, mfu 21.22%
iter 3070: loss 3.7022, time 3019.31ms, mfu 21.32%
iter 3080: loss 4.0844, time 3020.98ms, mfu 21.42%
iter 3090: loss 3.7784, time 3021.68ms, mfu 21.51%
iter 3100: loss 4.0960, time 3027.08ms, mfu 21.58%
iter 3110: loss 3.9774, time 3019.32ms, mfu 21.65%
iter 3120: loss 3.7355, time 3023.79ms, mfu 21.71%
iter 3130: loss 3.9787, time 3028.81ms, mfu 21.76%
iter 3140: loss 3.8171, time 3024.46ms, mfu 21.81%
iter 3150: loss 3.8491, time 3024.67ms, mfu 21.86%
iter 3160: loss 3.8582, time 3029.12ms, mfu 21.90%
iter 3170: loss 3.7991, time 3019.84ms, mfu 21.94%
iter 3180: loss 4.0883, time 3029.10ms, mfu 21.97%
iter 3190: loss 3.7714, time 3028.09ms, mfu 21.99%
iter 3200: loss 3.8073, time 3024.23ms, mfu 22.02%
iter 3210: loss 3.6866, time 3026.01ms, mfu 22.04%
iter 3220: loss 3.9339, time 3029.58ms, mfu 22.06%
iter 3230: loss 3.8125, time 3026.63ms, mfu 22.08%
iter 3240: loss 4.0463, time 3035.23ms, mfu 22.09%
iter 3250: loss 3.8659, time 3032.45ms, mfu 22.10%
iter 3260: loss 3.9955, time 3030.15ms, mfu 22.11%
iter 3270: loss 3.7144, time 3027.82ms, mfu 22.13%
iter 3280: loss 3.8021, time 3031.03ms, mfu 22.13%
iter 3290: loss 3.6853, time 3034.32ms, mfu 22.14%
iter 3300: loss 4.0696, time 3026.09ms, mfu 22.15%
iter 3310: loss 3.7687, time 3017.19ms, mfu 22.17%
iter 3320: loss 3.8500, time 3020.03ms, mfu 22.18%
iter 3330: loss 3.7952, time 3021.57ms, mfu 22.19%
iter 3340: loss 3.8165, time 3022.29ms, mfu 22.20%
iter 3350: loss 3.8106, time 3032.00ms, mfu 22.20%
iter 3360: loss 3.9129, time 3016.85ms, mfu 22.21%
iter 3370: loss 3.6503, time 3021.50ms, mfu 22.22%
iter 3380: loss 3.7241, time 3017.21ms, mfu 22.23%
iter 3390: loss 3.7248, time 3027.37ms, mfu 22.23%
iter 3400: loss 3.6465, time 3024.74ms, mfu 22.23%
iter 3410: loss 3.8374, time 3029.15ms, mfu 22.23%
iter 3420: loss 3.6221, time 3025.81ms, mfu 22.23%
iter 3430: loss 3.9259, time 3030.46ms, mfu 22.23%
iter 3440: loss 3.8667, time 3020.22ms, mfu 22.24%
iter 3450: loss 3.9196, time 3022.38ms, mfu 22.24%
iter 3460: loss 3.9265, time 3023.66ms, mfu 22.24%
iter 3470: loss 3.6121, time 3030.42ms, mfu 22.24%
iter 3480: loss 3.8762, time 3020.91ms, mfu 22.25%
iter 3490: loss 3.8430, time 3027.12ms, mfu 22.25%
iter 3500: loss 3.7973, time 3025.19ms, mfu 22.25%
iter 3510: loss 3.7844, time 3027.11ms, mfu 22.25%
iter 3520: loss 3.7595, time 3029.14ms, mfu 22.24%
iter 3530: loss 3.8201, time 3032.14ms, mfu 22.24%
iter 3540: loss 3.7354, time 3030.52ms, mfu 22.24%
iter 3550: loss 3.4408, time 3032.15ms, mfu 22.24%
iter 3560: loss 3.9463, time 3025.33ms, mfu 22.24%
iter 3570: loss 3.9113, time 3029.15ms, mfu 22.24%
iter 3580: loss 3.7687, time 3032.08ms, mfu 22.23%
iter 3590: loss 3.7464, time 3032.48ms, mfu 22.23%
iter 3600: loss 3.5580, time 3032.27ms, mfu 22.23%
iter 3610: loss 4.0156, time 3030.83ms, mfu 22.23%
iter 3620: loss 3.8377, time 3030.32ms, mfu 22.23%
iter 3630: loss 3.6458, time 3027.90ms, mfu 22.23%
iter 3640: loss 3.6971, time 3032.55ms, mfu 22.22%
iter 3650: loss 3.8468, time 3039.56ms, mfu 22.22%
iter 3660: loss 4.0705, time 3031.82ms, mfu 22.22%
iter 3670: loss 4.0922, time 3034.42ms, mfu 22.21%
iter 3680: loss 3.9654, time 3022.06ms, mfu 22.22%
iter 3690: loss 3.7669, time 3025.90ms, mfu 22.22%
iter 3700: loss 3.8001, time 3025.29ms, mfu 22.23%
iter 3710: loss 3.8633, time 3024.70ms, mfu 22.23%
iter 3720: loss 3.8173, time 3029.30ms, mfu 22.23%
iter 3730: loss 3.6425, time 3019.87ms, mfu 22.24%
iter 3740: loss 3.7429, time 3017.33ms, mfu 22.24%
iter 3750: loss 3.6530, time 3016.44ms, mfu 22.25%
iter 3760: loss 3.7853, time 3018.64ms, mfu 22.26%
iter 3770: loss 3.9103, time 3025.06ms, mfu 22.26%
iter 3780: loss 3.8472, time 3025.00ms, mfu 22.26%
iter 3790: loss 3.7111, time 3030.89ms, mfu 22.25%
iter 3800: loss 3.8400, time 3027.27ms, mfu 22.25%
iter 3810: loss 3.6651, time 3024.37ms, mfu 22.25%
iter 3820: loss 3.9355, time 3021.75ms, mfu 22.26%
iter 3830: loss 3.6658, time 3018.20ms, mfu 22.26%
iter 3840: loss 3.9196, time 3028.60ms, mfu 22.26%
iter 3850: loss 3.9439, time 3027.29ms, mfu 22.26%
iter 3860: loss 3.8538, time 3027.11ms, mfu 22.25%
iter 3870: loss 3.7699, time 3029.62ms, mfu 22.25%
iter 3880: loss 3.6864, time 3018.58ms, mfu 22.26%
iter 3890: loss 3.9064, time 3005.05ms, mfu 22.27%
iter 3900: loss 3.8637, time 2991.48ms, mfu 22.30%
iter 3910: loss 3.7617, time 2992.32ms, mfu 22.32%
iter 3920: loss 3.7710, time 2991.45ms, mfu 22.34%
iter 3930: loss 3.6450, time 3000.67ms, mfu 22.35%
iter 3940: loss 3.6926, time 3003.92ms, mfu 22.35%
iter 3950: loss 3.7385, time 3003.34ms, mfu 22.36%
iter 3960: loss 3.8083, time 3004.48ms, mfu 22.36%
iter 3970: loss 3.8250, time 3007.40ms, mfu 22.37%
iter 3980: loss 3.7660, time 3009.69ms, mfu 22.37%
iter 3990: loss 3.6633, time 3010.84ms, mfu 22.37%
LINESEARCH!!!
LINESEARCH LR: 6.103515625e-05
step 4000: train loss 3.7755, val loss 3.7951
saving checkpoint to out
iter 4000: loss 3.8379, time 63043.80ms, mfu 20.24%
iter 4010: loss 3.7614, time 3004.93ms, mfu 20.45%
iter 4020: loss 3.7992, time 2998.90ms, mfu 20.65%
iter 4030: loss 3.6773, time 3000.51ms, mfu 20.83%
iter 4040: loss 3.8458, time 3005.32ms, mfu 20.99%
iter 4050: loss 3.8712, time 3004.80ms, mfu 21.13%
iter 4060: loss 4.0877, time 3012.60ms, mfu 21.25%
iter 4070: loss 3.9021, time 3011.96ms, mfu 21.36%
iter 4080: loss 3.5041, time 3019.83ms, mfu 21.46%
iter 4090: loss 3.8176, time 3016.36ms, mfu 21.54%
iter 4100: loss 3.7640, time 3013.54ms, mfu 21.62%
iter 4110: loss 3.8664, time 3021.87ms, mfu 21.69%
iter 4120: loss 4.0290, time 3025.84ms, mfu 21.74%
iter 4130: loss 3.7706, time 3024.55ms, mfu 21.80%
iter 4140: loss 3.7321, time 3027.81ms, mfu 21.84%
iter 4150: loss 3.7531, time 3028.75ms, mfu 21.88%
iter 4160: loss 3.7615, time 3028.06ms, mfu 21.92%
iter 4170: loss 3.9831, time 3027.71ms, mfu 21.95%
iter 4180: loss 3.8056, time 3031.08ms, mfu 21.97%
iter 4190: loss 3.6887, time 3020.09ms, mfu 22.01%
iter 4200: loss 3.6570, time 3032.38ms, mfu 22.03%
iter 4210: loss 3.8143, time 3038.47ms, mfu 22.04%
iter 4220: loss 3.5961, time 3031.56ms, mfu 22.06%
