step 0: train loss 10.9886, val loss 10.9897
iter 3860: loss 3.4928, time 3058.36ms, mfu 22.02%
iter 3870: loss 3.1473, time 3042.36ms, mfu 22.03%
iter 3880: loss 3.3432, time 3053.45ms, mfu 22.04%
iter 3890: loss 3.3767, time 3045.37ms, mfu 22.04%
iter 3900: loss 3.4610, time 3050.59ms, mfu 22.05%
iter 3910: loss 3.4651, time 3060.47ms, mfu 22.04%
iter 3920: loss 3.5525, time 3054.64ms, mfu 22.04%
iter 3930: loss 3.4088, time 3057.15ms, mfu 22.04%
iter 3940: loss 3.3009, time 3053.01ms, mfu 22.04%
iter 3950: loss 3.2122, time 3050.74ms, mfu 22.04%
iter 3960: loss 3.4789, time 3045.15ms, mfu 22.05%
iter 3970: loss 3.2549, time 3051.96ms, mfu 22.05%
iter 3980: loss 3.4300, time 3050.90ms, mfu 22.05%
iter 3990: loss 3.5037, time 3056.03ms, mfu 22.05%
step 4000: train loss 3.4109, val loss 3.4219
saving checkpoint to out
iter 4000: loss 3.3511, time 25581.98ms, mfu 20.11%
iter 4010: loss 3.4873, time 3048.55ms, mfu 20.31%
iter 4020: loss 3.5979, time 3012.06ms, mfu 20.51%
iter 4030: loss 3.3192, time 3008.63ms, mfu 20.70%
iter 4040: loss 3.2512, time 3013.37ms, mfu 20.86%
iter 4050: loss 3.2011, time 3017.26ms, mfu 21.01%
iter 4060: loss 3.4771, time 3022.54ms, mfu 21.13%
iter 4070: loss 3.2625, time 3026.09ms, mfu 21.25%
iter 4080: loss 3.4414, time 3028.84ms, mfu 21.34%
iter 4090: loss 3.4839, time 3029.96ms, mfu 21.43%
iter 4100: loss 3.4257, time 3034.98ms, mfu 21.51%
iter 4110: loss 3.1220, time 3032.58ms, mfu 21.58%
iter 4120: loss 3.3270, time 3044.28ms, mfu 21.63%
iter 4130: loss 3.6265, time 3048.39ms, mfu 21.68%
iter 4140: loss 3.3718, time 3048.10ms, mfu 21.72%
iter 4150: loss 3.4745, time 3040.90ms, mfu 21.76%
iter 4160: loss 3.2535, time 3022.86ms, mfu 21.81%
iter 4170: loss 3.4388, time 3023.70ms, mfu 21.86%
iter 4180: loss 3.3128, time 3025.93ms, mfu 21.90%
iter 4190: loss 3.3935, time 3032.85ms, mfu 21.93%
iter 4200: loss 3.3501, time 3035.27ms, mfu 21.95%
iter 4210: loss 3.1154, time 3040.60ms, mfu 21.97%
iter 4220: loss 3.3093, time 3049.82ms, mfu 21.98%
iter 4230: loss 3.6755, time 3041.92ms, mfu 22.00%
iter 4240: loss 3.3414, time 3050.94ms, mfu 22.00%
iter 4250: loss 3.5023, time 3045.64ms, mfu 22.01%
iter 4260: loss 3.4528, time 3055.19ms, mfu 22.02%
iter 4270: loss 3.5721, time 3046.53ms, mfu 22.03%
iter 4280: loss 3.6009, time 3058.55ms, mfu 22.02%
iter 4290: loss 3.4155, time 3057.25ms, mfu 22.02%
iter 4300: loss 3.4146, time 3058.61ms, mfu 22.02%
iter 4310: loss 3.2451, time 3060.12ms, mfu 22.02%
iter 4320: loss 3.2294, time 3059.61ms, mfu 22.02%
